Season,Team,RB_RBR
2015,49ers,0.23643148378848003
2015,Bears,0.11581020445483672
2015,Bengals,0.37098631915688474
2015,Bills,0.3424354689379734
2015,Broncos,0.01074956521207291
2015,Browns,0.3282095558905653
2015,Buccaneers,0.18286652516631072
2015,Cardinals,0.22324596129657645
2015,Chargers,0.3935079204422404
2015,Chiefs,0.28485209358108093
2015,Colts,0.2656402331349722
2015,Commanders,0.18212583641708652
2015,Cowboys,0.3348527893456426
2015,Dolphins,0.07098822760257965
2015,Eagles,0.48512544542967817
2015,Falcons,0.35929712176754636
2015,Giants,0.271549483640976
2015,Jaguars,0.12682446170100134
2015,Jets,0.3268951796823863
2015,Lions,0.23423552379807158
2015,Packers,0.011696398138600059
2015,Panthers,0.4343465013834527
2015,Patriots,0.19763346209545815
2015,Raiders,0.3305718135431769
2015,Rams,0.2879476828822916
2015,Ravens,0.049423394954148527
2015,Saints,0.13385687538847646
2015,Seahawks,0.27874660642182303
2015,Steelers,0.297419892716329
2015,Texans,0.25220049854791066
2015,Titans,0.1728277978019643
2015,Vikings,0.20054958386657581
2016,49ers,0.38627460342777087
2016,Bears,0.33918098308069095
2016,Bengals,0.36241165612525106
2016,Bills,0.3650128311953794
2016,Broncos,0.2147392656197256
2016,Browns,0.4247279605915534
2016,Buccaneers,0.390604986004822
2016,Cardinals,0.24434187131466156
2016,Chargers,0.2001435051892968
2016,Chiefs,0.28611710589004663
2016,Colts,0.35522818804135325
2016,Commanders,0.35422402147306514
2016,Cowboys,0.38861972158291375
2016,Dolphins,0.328724523141972
2016,Eagles,0.3840463499545193
2016,Falcons,0.15533177450482524
2016,Giants,0.062339813882764716
2016,Jaguars,0.09858949536730821
2016,Jets,0.3805565541152744
2016,Lions,0.4781828787438666
2016,Packers,0.32447276513542334
2016,Panthers,0.2270298238872251
2016,Patriots,0.2882960323009647
2016,Raiders,0.22376615855999685
2016,Rams,0.14372802636371645
2016,Ravens,0.3650012128227414
2016,Saints,0.1183327697926757
2016,Seahawks,0.36751922272124954
2016,Steelers,0.27164136071710804
2016,Texans,0.45063367969908363
2016,Titans,0.15677921193686933
2016,Vikings,0.26909972039895774
2018,49ers,0.4069108119580105
2018,Bears,0.6014473110723831
2018,Bengals,0.5995159570621885
2018,Bills,0.37670055914230294
2018,Broncos,0.4274736673428727
2018,Browns,0.4298443552909308
2018,Buccaneers,0.6169014516659297
2018,Cardinals,0.08658637992635661
2018,Chargers,0.40398794220053297
2018,Chiefs,0.4574825037939527
2018,Colts,0.43164634274833785
2018,Commanders,0.0921405937255064
2018,Cowboys,0.05708449743341996
2018,Dolphins,0.4093615286529479
2018,Eagles,0.3742721530082536
2018,Falcons,0.45932857026167784
2018,Giants,0.08471317679642787
2018,Jaguars,0.3911877990774158
2018,Jets,0.37770764694410897
2018,Lions,0.3829097159025839
2018,Packers,0.36784279457893243
2018,Panthers,0.5156596122828828
2018,Patriots,0.4441587876394587
2018,Raiders,0.44059128802863906
2018,Rams,0.08202027267050438
2018,Ravens,0.3647503507684826
2018,Saints,0.4837691173429437
2018,Seahawks,0.42804419953196304
2018,Steelers,0.43212187796274465
2018,Texans,0.4292782831322095
2018,Titans,0.3791328522865972
2018,Vikings,0.35644792704408895
2019,49ers,0.36455393442663747
2019,Bears,0.3183856956076462
2019,Bengals,0.4738779678008384
2019,Bills,0.3566572345015921
2019,Broncos,0.3652344991930699
2019,Browns,0.451389097519288
2019,Buccaneers,0.3706336246561456
2019,Cardinals,0.38630280994917193
2019,Chargers,0.3407030733809341
2019,Chiefs,0.2696448755719589
2019,Colts,0.4554146080249118
2019,Commanders,0.3452417539526993
2019,Cowboys,0.5215875979250771
2019,Dolphins,0.28578080695412184
2019,Eagles,0.32748864850396053
2019,Falcons,0.33377535708554007
2019,Giants,0.43986018225093193
2019,Jaguars,0.44463252755704324
2019,Jets,0.38548125107111425
