Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
70,Clayton Tune,26,GNB,QB,2,1,0-1-0,7,15,46.7,42,0,0.0,1,6.7,2,20.0,8,2.8,-0.20,6.0,21.0,25.7,7.9,5,44,25.00,-0.10,-2.35,0,0,,TuneCl00
71,Gardner Minshew II,29,KAN,QB,4,1,0-1-0,6,13,46.2,37,0,0.0,1,7.7,2,23.1,12,2.8,-0.62,6.2,9.3,21.0,12.3,0,0,0.00,2.85,-0.62,0,0,,MinsGa00
72,Gunner Olszewski,29,NYG,WR,16,1,,1,2,50.0,33,1,50.0,0,0.0,1,50.0,33,16.5,26.50,33.0,2.1,135.4,88.8,0,0,0.00,16.50,26.50,0,0,,OlszGu00
73,Cam Akers,26,MIN,RB,3,0,,1,1,100.0,32,1,100.0,0,0.0,1,100.0,32,32.0,52.00,32.0,10.7,158.3,,0,0,0.00,32.00,52.00,0,0,,AkerCa00
74,Zach Wilson,26,MIA,QB,4,0,,6,11,54.5,32,0,0.0,0,0.0,3,36.4,11,2.9,2.91,5.3,8.0,60.0,9.7,0,0,0.00,2.91,2.91,0,0,,WilsZa00
75,Matt Haack,31,ARI,P,7,0,,1,1,100.0,28,0,0.0,0,0.0,1,100.0,28,28.0,28.00,28.0,4.0,118.7,,0,0,0.00,28.00,28.00,0,0,,HaacMa00
76,Nick Mullens,30,JAX,QB,5,0,,3,3,100.0,19,0,0.0,0,0.0,2,66.7,8,6.3,6.33,6.3,3.8,93.1,85.9,0,0,0.00,6.33,6.33,0,0,,MullNi00
77,Rigoberto Sanchez,31,IND,P,17,0,,1,1,100.0,16,0,0.0,0,0.0,1,100.0,16,16.0,16.00,16.0,0.9,118.7,,0,0,0.00,16.00,16.00,0,0,,SancRi00
78,Drew Lock,29,SEA,QB,5,0,,2,3,66.7,15,0,0.0,0,0.0,1,33.3,11,5.0,5.00,7.5,3.0,78.5,5.7,0,0,0.00,5.00,5.00,0,0,,LockDr00
79,Anthony Richardson,23,IND,QB,2,0,,1,2,50.0,9,0,0.0,0,0.0,1,50.0,9,4.5,4.50,9.0,4.5,62.5,,0,0,0.00,4.50,4.50,0,0,,RichAn03
80,Jaylen Waddle,27,MIA,WR,16,16,,1,1,100.0,8,0,0.0,0,0.0,0,,8,8.0,8.00,8.0,0.5,100.0,0.1,0,0,0.00,8.00,8.00,0,0,,WaddJa00
81,Breece Hall,24,NYJ,RB,16,16,,1,1,100.0,4,1,100.0,0,0.0,1,100.0,4,4.0,24.00,4.0,0.3,122.9,100.0,0,0,0.00,4.00,24.00,0,0,,HallBr03
82,Austin McNamara,24,NYJ,P,17,0,,1,1,100.0,3,0,0.0,0,0.0,1,100.0,3,3.0,3.00,3.0,0.2,79.2,,0,0,0.00,3.00,3.00,0,0,,McNaAu00
83,David Montgomery,28,DET,RB,17,0,,1,2,50.0,3,1,50.0,0,0.0,1,33.3,3,1.5,11.50,3.0,0.2,95.8,35.4,1,5,33.33,-0.67,6.00,0,0,,MontDa01
