 
,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
43,Michael Carter,23,NYJ,RB,16,10,114,402,3,14,42.1,25,3.5,25.1,7.1,2,,CartMi03
44,Lamar Jackson,25,BAL,QB,12,12,112,764,3,47,64.3,79,6.8,63.7,9.3,5,,JackLa00
45,James Robinson,24,2TM,RB,11,5,110,425,3,22,35.5,50,3.9,38.6,10.0,1,,RobiJa00
45,James Robinson,24,JAX,RB,7,5,81,340,3,18,37.0,50,4.2,48.6,11.6,1,,RobiJa00
45,James Robinson,24,NYJ,RB,4,0,29,85,0,4,31.0,16,2.9,21.3,7.3,0,,RobiJa00
46,Kenyan Drake,28,BAL,RB,12,5,109,482,4,21,45.0,40,4.4,40.2,9.1,1,,DrakKe00
47,Damien Harris,25,NWE,RB,11,9,106,462,3,23,50.0,30,4.4,42.0,9.6,0,,HarrDa06
48,D'Andre Swift,23,DET,RB,14,8,99,542,5,21,47.5,50,5.5,38.7,7.1,1,,SwifDA00
49,Taysom Hill,32,NOR,TE/QB,16,8,96,575,7,34,55.2,60,6.0,35.9,6.0,2,,HillTa00
50,Chuba Hubbard,23,CAR,RB,15,2,95,466,2,23,45.3,35,4.9,31.1,6.3,2,,HubbCh01
51,Samaje Perine,27,CIN,RB,16,2,95,394,2,19,49.5,29,4.1,24.6,5.9,0,,PeriSa00
52,Zack Moss,25,2TM,RB,13,3,93,456,1,18,47.3,43,4.9,35.1,7.2,1,,MossZa00
52,Zack Moss,25,BUF,RB,5,0,17,91,0,3,35.3,43,5.4,18.2,3.4,1,,MossZa00
52,Zack Moss,25,IND,RB,8,3,76,365,1,15,50.0,34,4.8,45.6,9.5,0,,MossZa00
53,J.K. Dobbins,24,BAL,RB,8,8,92,520,2,26,57.6,44,5.7,65.0,11.5,0,,DobbJK00
54,Melvin Gordon,29,DEN,RB,10,6,90,318,2,15,50.0,17,3.5,31.8,9.0,5,,GordMe00
55,James Cook,23,BUF,RB,16,0,89,507,2,25,50.6,33,5.7,31.7,5.6,1,,CookJa01
56,Gus Edwards,27,BAL,RB,9,4,87,433,3,30,59.8,37,5.0,48.1,9.7,1,,EdwaGu00
57,Zonovan Knight,21,NYJ,RB,7,4,85,300,1,14,38.8,48,3.5,42.9,12.1,2,,KnigZo00
58,Marcus Mariota,29,ATL,QB,13,13,85,438,4,30,57.6,30,5.2,33.7,6.5,8,,MariMa01
59,Breece Hall,21,NYJ,RB,7,2,80,463,4,20,50.0,62,5.8,66.1,11.4,1,,HallBr03
60,Jaylen Warren,24,PIT,RB,16,0,77,379,1,20,53.2,31,4.9,23.7,4.8,1,,WarrJa01
61,Eno Benjamin,23,3TM,RB,15,3,77,313,2,14,46.8,45,4.1,20.9,5.1,0,,BenjEn00
61,Eno Benjamin,23,ARI,RB,10,3,70,299,2,14,48.6,45,4.3,29.9,7.0,0,,BenjEn00
61,Eno Benjamin,23,HOU,RB,2,0,3,1,0,0,33.3,4,0.3,0.5,1.5,0,,BenjEn00
61,Eno Benjamin,23,NOR,RB,3,0,4,13,0,0,25.0,8,3.3,4.3,1.3,0,,BenjEn00
62,Caleb Huntley,24,ATL,RB,12,0,76,366,1,18,61.8,30,4.8,30.5,6.3,1,,HuntCa02
63,Joe Burrow,26,CIN,QB,16,16,75,257,5,28,49.3,23,3.4,16.1,4.7,6,PBAP MVP-4AP OPoY-9,BurrJo01
64,Alexander Mattison,24,MIN,RB,17,0,74,283,5,21,47.3,15,3.8,16.6,4.4,0,,MattAl01
65,Jerick McKinnon,30,KAN,RB,17,0,72,291,1,12,45.8,30,4.0,17.1,4.2,1,AP CPoY-12,McKiJe00
66,Clyde Edwards-Helaire,23,KAN,RB,10,6,71,302,3,15,49.3,52,4.3,30.2,7.1,0,,EdwaCl00
67,Darrell Henderson,25,LAR,RB,10,7,70,283,3,14,42.9,23,4.0,28.3,7.0,0,,HendDa00
68,Joshua Kelley,25,LAC,RB,13,1,69,287,2,16,56.5,22,4.2,22.1,5.3,0,,KellJo01
69,Deon Jackson,23,IND,RB,16,2,68,236,1,13,38.2,17,3.5,14.8,4.3,1,,JackDe02
70,Geno Smith,32,SEA,QB,17,17,68,366,1,24,55.9,25,5.4,21.5,4.0,8,PBAP MVP-9AP CPoY-1,SmitGe00
71,Chase Edmonds,26,2TM,RB,13,3,68,245,2,8,42.6,28,3.6,18.8,5.2,0,,EdmoCh00
71,Chase Edmonds,26,MIA,RB,8,2,42,120,2,6,40.5,28,2.9,15.0,5.3,0,,EdmoCh00
71,Chase Edmonds,26,DEN,RB,5,1,26,125,0,2,46.2,25,4.8,25.0,5.2,0,,EdmoCh00
72,Kyler Murray,25,ARI,QB,11,11,67,418,3,23,61.2,42,6.2,38.0,6.1,8,,MurrKy00
73,Mark Ingram,33,NOR,RB,10,3,62,233,1,12,46.8,14,3.8,23.3,6.2,2,,IngrMa01
74,Trevor Lawrence,23,JAX,QB,17,17,62,291,5,27,59.7,24,4.7,17.1,3.6,12,PBAP MVP-7AP CPoY-12,LawrTr00
75,Patrick Mahomes,27,KAN,QB,17,17,61,358,4,25,59.0,20,5.9,21.1,3.6,5,PBAP-1AP MVP-1AP OPoY-2,MahoPa00
76,Rashaad Penny,26,SEA,RB,5,5,57,346,2,15,47.4,41,6.1,69.2,11.4,1,,PennRa00
77,Kenny Pickett,24,PIT,QB,13,12,55,237,3,23,60.0,23,4.3,18.2,4.2,4,AP ORoY-6,PickKe00
78,Russell Wilson,34,DEN,QB,15,15,55,277,3,21,50.9,19,5.0,18.5,3.7,6,,WilsRu00
79,Matt Breida,27,NYG,RB,17,1,54,220,1,13,50.0,18,4.1,12.9,3.2,0,,BreiMa00
80,Justin Herbert,24,LAC,QB,17,17,54,147,0,17,40.7,23,2.7,8.6,3.2,8,AP MVP-9,HerbJu00
81,Boston Scott,27,PHI,RB,15,2,54,217,3,12,46.3,21,4.0,14.5,3.6,0,,ScotBo02
82,Kenneth Gainwell,23,PHI,RB,17,0,53,240,4,17,62.3,13,4.5,14.1,3.1,0,,GainKe00
83,Jacoby Brissett,30,CLE,QB,16,11,49,243,2,28,65.3,22,5.0,15.2,3.1,6,,BrisJa00
84,Justice Hill,25,BAL,RB,15,0,49,262,0,15,59.2,34,5.3,17.5,3.3,2,,HillJu00
85,Mac Jones,24,NWE,QB,14,14,47,102,1,12,34.0,15,2.2,7.3,3.4,5,,JoneMa05
86,Javonte Williams,22,DEN,RB,4,4,47,204,0,9,48.9,17,4.3,51.0,11.8,1,,WillJa10
87,Jamycal Hasty,26,JAX,RB,17,0,46,194,2,7,37.0,61,4.2,11.4,2.7,0,,HastJa02
88,Elijah Mitchell,24,SFO,RB,5,1,45,279,2,15,71.1,37,6.2,55.8,9.0,0,,MitcEl00
