 
,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
194,Chase Claypool,24,CHI,WR,7,3,1,4,0,0,100.0,4,4.0,0.6,0.1,1,,ClayCh01
195,Giovani Bernard,31,TAM,RB,8,0,8,28,0,0,50.0,8,3.5,3.5,1.0,1,,BernGi00
196,Mike Davis,29,BAL,RB,8,0,8,18,0,1,37.5,10,2.3,2.3,1.0,1,,DaviMi01
197,Joshua Dobbs,27,TEN,QB,2,2,8,44,0,4,75.0,11,5.5,22.0,4.0,4,,DobbJo00
198,Jerome Ford,23,CLE,RB,13,0,8,12,0,1,12.5,9,1.5,0.9,0.6,0,,FordJe00
199,Gunner Olszewski,26,PIT,WR,16,2,8,39,0,3,50.0,18,4.9,2.4,0.5,2,,OlszGu00
200,John Wolford,27,LAR,QB,3,3,8,32,0,2,37.5,14,4.0,10.7,2.7,3,,WolfJo00
201,Greg Dortch,24,ARI,WR,16,4,7,44,0,3,71.4,20,6.3,2.8,0.4,1,,DortGr01
202,Tyreek Hill,28,MIA,WR,17,17,7,32,1,3,57.1,10,4.6,1.9,0.4,1,PBAP-1AP MVP-9AP OPoY-4,HillTy00
203,Diontae Johnson,26,PIT,WR,17,17,7,25,0,1,28.6,8,3.6,1.5,0.4,1,,JohnDi01
204,Kyle Juszczyk,31,SFO,FB,16,12,7,26,1,5,71.4,9,3.7,1.6,0.4,0,PB,JuszKy00
205,Terry McLaurin,27,WAS,WR,17,17,7,29,0,2,71.4,12,4.1,1.7,0.4,1,PB,McLaTe00
206,Gardner Minshew II,26,PHI,QB,5,2,7,3,1,1,14.3,3,0.4,0.6,1.4,4,,MinsGa00
207,Kalif Raymond,28,DET,WR,17,7,7,36,0,4,71.4,12,5.1,2.1,0.4,3,AP-2,RaymKa00
208,Patrick Ricard,28,BAL,FB,17,16,7,16,0,5,71.4,5,2.3,0.9,0.4,0,PB,RicaPa00
209,Christian Watson,23,GNB,WR,14,11,7,80,2,2,71.4,46,11.4,5.7,0.5,0,AP ORoY-7,WatsCh00
210,Kadarius Toney,23,2TM,WR,9,4,7,82,1,5,85.7,32,11.7,9.1,0.8,1,,ToneKa00
210,Kadarius Toney,23,NYG,WR,2,1,2,23,0,1,100.0,19,11.5,11.5,1.0,0,,ToneKa00
210,Kadarius Toney,23,KAN,WR,7,3,5,59,1,4,80.0,32,11.8,8.4,0.7,1,,ToneKa00
211,Kyle Allen,26,HOU,QB,2,2,6,13,0,2,50.0,5,2.2,6.5,3.0,4,,AlleKy00
212,Kendrick Bourne,27,NWE,WR,16,2,6,39,0,2,33.3,29,6.5,2.4,0.4,2,,BourKe00
213,Ty Chandler,24,MIN,RB,3,0,6,20,0,1,33.3,10,3.3,6.7,2.0,0,,ChanTy01
214,Alec Ingold,26,MIA,FB,17,14,6,8,1,5,83.3,2,1.3,0.5,0.4,0,,IngoAl01
215,Anthony McFarland Jr.,24,PIT,RB,1,0,6,30,0,3,66.7,14,5.0,30.0,6.0,0,,McFaAn00
216,Rondale Moore,22,ARI,WR,8,8,6,-5,0,1,16.7,9,-0.8,-0.6,0.8,0,,MoorRo02
217,Brett Rypien,26,DEN,QB,4,2,6,7,0,2,33.3,6,1.2,1.8,1.5,4,,RypiBr00
218,Equanimeous St. Brown,26,CHI,WR,16,16,6,54,0,2,33.3,41,9.0,3.4,0.4,1,,St.BEq00
219,P.J. Walker,27,CAR,QB,6,5,6,39,0,3,83.3,20,6.5,6.5,1.0,0,,WalkPh00
220,Davis Webb,27,NYG,QB,1,1,6,41,1,2,83.3,14,6.8,41.0,6.0,0,,WebbDa00
221,Mike White,27,NYJ,QB,4,4,6,9,1,3,66.7,4,1.5,2.3,1.5,2,,WhitMi01
222,Trayveon Williams,25,CIN,RB,8,0,6,30,0,1,33.3,16,5.0,3.8,0.8,0,,WillTr06
223,Michael Burton,30,KAN,RB,17,0,5,7,0,2,40.0,6,1.4,0.4,0.3,0,,BurtMi00
224,Parris Campbell,25,IND,WR,17,16,5,58,0,2,40.0,28,11.6,3.4,0.3,1,,CampPa00
225,Ja'Marr Chase,22,CIN,WR,12,12,5,8,0,0,20.0,6,1.6,0.7,0.4,2,PB,ChasJa00
226,Chad Henne,37,KAN,QB,3,0,5,-5,0,0,0.0,-1,-1.0,-1.7,1.7,1,,HennCh01
227,Sam Howell,22,WAS,QB,1,1,5,35,1,4,80.0,10,7.0,35.0,5.0,0,,HoweSa00
228,Julio Jones,33,TAM,WR,10,5,5,45,0,4,80.0,15,9.0,4.5,0.5,0,,JoneJu02
229,Case Keenum,34,BUF,QB,2,0,5,0,0,0,0.0,,0.0,0.0,2.5,0,,KeenCa00
230,Christian Kirk,26,JAX,WR,17,17,5,11,0,0,60.0,5,2.2,0.6,0.3,1,,KirkCh01
231,Elijah Moore,22,NYJ,WR,16,9,5,5,0,2,40.0,10,1.0,0.3,0.3,1,,MoorEl00
232,Nate Sudfeld,29,DET,QB,2,0,5,-4,0,0,0.0,,-0.8,-2.0,2.5,0,,SudfNa00
233,Tyrod Taylor,33,NYG,QB,3,0,5,70,0,5,100.0,32,14.0,23.3,1.7,2,,TaylTy00
234,Jonathan Ward,25,TEN,RB,3,0,5,25,0,2,60.0,12,5.0,8.3,1.7,0,,WardJo00
235,Montrell Washington,23,DEN,WR,15,1,5,30,0,0,40.0,19,6.0,2.0,0.3,5,,WashMo00
236,Jameis Winston,28,NOR,QB,3,3,5,16,0,0,40.0,6,3.2,5.3,1.7,3,,WinsJa00
237,Ameer Abdullah,29,LVR,RB,17,0,4,20,0,2,75.0,7,5.0,1.2,0.2,0,,AbduAm00
238,C.J. Beathard,29,JAX,QB,4,0,4,-4,0,0,0.0,-1,-1.0,-1.0,1.0,0,,BeatC.00
239,David Blough,27,ARI,QB,2,2,4,5,0,0,25.0,4,1.3,2.5,2.0,1,,BlouDa00
240,Treylon Burks,22,TEN,WR,11,6,4,47,0,3,100.0,20,11.8,4.3,0.4,0,,BurkTr00
241,Pharoh Cooper,27,ARI,WR,5,1,4,15,0,0,50.0,6,3.8,3.0,0.8,0,,CoopPh00
242,C.J. Ham,29,MIN,FB,17,4,4,7,2,3,75.0,3,1.8,0.4,0.2,0,,HamxC.00
243,Mecole Hardman,24,KAN,WR,8,5,4,31,2,3,75.0,25,7.8,3.9,0.5,1,,HardMe00
244,Mack Hollins,29,LVR,WR,17,16,4,40,0,2,75.0,17,10.0,2.4,0.2,0,,HollMa00
245,Zander Horvath,24,LAC,FB,15,2,4,8,0,2,50.0,3,2.0,0.5,0.3,0,,HorvZa00
246,Justin Jefferson,23,MIN,WR,17,17,4,24,1,2,75.0,10,6.0,1.4,0.2,0,PBAP-1AP MVP-5AP OPoY-1,JeffJu00
247,Jerry Jeudy,23,DEN,WR,15,14,4,40,0,4,100.0,14,10.0,2.7,0.3,0,,JeudJe00
248,D'Ernest Johnson,26,CLE,RB,15,0,4,17,0,1,75.0,7,4.3,1.1,0.3,0,,JohnDE04
249,Zay Jones,27,JAX,WR,16,15,4,18,0,1,50.0,14,4.5,1.1,0.3,0,,JoneZa00
250,Ray-Ray McCloud,26,SFO,WR,17,2,4,78,1,1,25.0,71,19.5,4.6,0.2,2,,McClRa00
251,Nick Mullens,27,MIN,QB,4,0,4,8,0,1,50.0,4,2.0,2.0,1.0,0,,MullNi00
252,Adam Prentice,25,NOR,FB,11,2,4,9,0,3,75.0,3,2.3,0.8,0.4,1,,PrenAd00
253,Jalen Reagor,23,MIN,WR,17,0,4,25,0,1,75.0,17,6.3,1.5,0.2,4,,ReagJa00
254,Anthony Schwartz,22,CLE,WR,11,1,4,57,1,2,100.0,31,14.3,5.2,0.4,1,,SchwAn00
255,Rashid Shaheed,24,NOR,WR,12,6,4,57,1,2,75.0,44,14.3,4.8,0.3,1,,ShahRa00
256,Trevor Siemian,31,CHI,QB,2,1,4,8,0,1,25.0,6,2.0,4.0,2.0,0,,SiemTr00
257,Trent Taylor,28,CIN,WR,16,1,4,15,0,0,50.0,9,3.8,0.9,0.3,2,,TaylTr02
258,DJ Turner,25,LVR,WR,9,0,4,26,0,1,50.0,18,6.5,2.9,0.4,1,,TurnDJ00
259,Garrett Wilson,22,NYJ,WR,17,12,4,4,0,0,25.0,7,1.0,0.2,0.2,2,AP ORoY-1,WilsGa00
260,Davante Adams,30,LVR,WR,17,17,3,-1,0,0,0.0,4,-0.3,-0.1,0.2,1,PBAP-1,AdamDa01
261,Brandon Allen,30,CIN,QB,1,0,3,-1,0,1,33.3,2,-0.3,-1.0,3.0,0,,AlleBr00
262,Mark Andrews,27,BAL,TE,15,15,3,8,0,3,100.0,4,2.7,0.5,0.2,1,PB,AndrMa00
263,Reggie Bonnafon,26,WAS,LB,1,0,3,8,0,0,0.0,5,2.7,8.0,3.0,0,,BonnRe00
264,Teddy Bridgewater,30,MIA,QB,5,2,3,27,0,2,66.7,11,9.0,5.4,0.6,0,,BridTe00
265,Anthony Brown,24,BAL,QB,2,1,3,-5,0,0,0.0,-1,-1.7,-2.5,1.5,1,,BrowAn06
266,Joe Flacco,37,NYJ,QB,5,4,3,6,0,1,33.3,7,2.0,1.2,0.6,5,,FlacJo00
267,Chris Godwin,26,TAM,WR,15,13,3,5,0,0,0.0,2,1.7,0.3,0.2,2,AP CPoY-7,GodwCh00
268,Godwin Igwebuike,28,SEA,RB,5,0,3,4,0,0,33.3,4,1.3,0.8,0.6,0,,IgweGo00
269,Chris Moore,29,HOU,WR,16,7,3,3,0,0,0.0,3,1.0,0.2,0.2,0,,MoorCh00
270,Skyy Moore,22,KAN,WR,16,3,3,24,0,1,66.7,12,8.0,1.5,0.2,3,,MoorSk01
271,Chigoziem Okonkwo,23,TEN,TE,17,8,3,2,0,0,0.0,6,0.7,0.1,0.2,0,,OkonCh00
272,K.J. Osborn,25,MIN,WR,17,9,3,6,0,2,66.7,5,2.0,0.4,0.2,1,,OsboKJ00
273,Devine Ozigbo,26,DEN,RB,4,0,3,4,0,0,33.3,4,1.3,1.0,0.8,0,,OzigDe01
274,George Pickens,21,PIT,WR,17,12,3,24,1,2,66.7,22,8.0,1.4,0.2,0,,PickGe00
275,Michael Pittman Jr.,25,IND,WR,16,16,3,30,0,2,66.7,19,10.0,1.9,0.2,2,,PittMi01
276,Tyquan Thornton,22,NWE,WR,13,9,3,16,1,1,33.3,19,5.3,1.2,0.2,0,,ThorTy00
277,KaVontae Turpin,26,DAL,WR,17,0,3,17,0,1,33.3,11,5.7,1.0,0.2,3,PB,TurpKa00
278,Jaylen Waddle,24,MIA,WR,17,17,3,26,0,0,100.0,9,8.7,1.5,0.2,1,,WaddJa00
279,Quez Watkins,24,PHI,WR,17,8,3,1,0,0,0.0,4,0.3,0.1,0.2,1,,WatkQu00
280,Brandon Aiyuk,24,SFO,WR,17,17,2,23,0,1,100.0,16,11.5,1.4,0.1,1,,AiyuBr00
281,Andrew Beck,26,DEN,TE,13,4,2,0,0,0,0.0,,0.0,0.0,0.2,0,,BeckAn01
282,Tim Boyle,28,CHI,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,BoylTi00
283,DeAndre Carter,29,LAC,WR,17,7,2,-15,0,0,0.0,-5,-7.5,-0.9,0.1,3,,CartDe02
284,Tyler Conklin,27,NYJ,TE,17,16,2,3,0,2,100.0,2,1.5,0.2,0.1,2,,ConkTy00
285,Brandin Cooks,29,HOU,WR,13,13,2,7,0,0,50.0,5,3.5,0.5,0.2,0,,CookBr00
286,Michael Dickson,26,SEA,P,17,0,2,-18,0,0,0.0,-8,-9.0,-1.1,0.1,1,,DickMi00
287,Jahan Dotson,22,WAS,WR,12,10,2,-7,0,0,0.0,3,-3.5,-0.6,0.2,0,,DotsJa00
288,Ashton Dulin,25,IND,WR,12,2,2,8,0,1,50.0,5,4.0,0.7,0.2,0,,DuliAs00
289,Evan Engram,28,JAX,TE,17,14,2,13,0,1,50.0,13,6.5,0.8,0.1,0,,EngrEv00
290,D'Wayne Eskridge,25,SEA,WR,10,0,2,10,0,0,100.0,6,5.0,1.0,0.2,0,,EskrDW00
291,Nick Foles,33,IND,QB,3,2,2,8,0,0,50.0,8,4.0,2.7,0.7,0,,FoleNi00
292,Jamie Gillan,25,NYG,P,17,0,2,-3,0,0,0.0,,-1.5,-0.2,0.1,1,,GillJa00
293,Marquise Goodwin,32,SEA,WR,13,2,2,5,0,0,50.0,7,2.5,0.4,0.2,0,,GoodMa00
294,KJ Hamler,23,DEN,WR,7,0,2,23,0,1,100.0,14,11.5,3.3,0.3,0,,HamlKJ00
295,Connor Heyward,23,PIT,TE,17,0,2,27,0,2,100.0,21,13.5,1.6,0.1,0,,HeywCo00
296,Kendall Hinton,25,DEN,WR,12,5,2,13,0,1,50.0,13,6.5,1.1,0.2,0,,HintKe00
297,Richie James,27,NYG,WR,17,4,2,6,0,0,50.0,4,3.0,0.4,0.1,3,,JameRi00
298,Duke Johnson,29,BUF,RB,1,0,2,4,0,1,50.0,4,2.0,4.0,2.0,0,,JohnDu00
299,Josh Johnson,36,SFO,QB,2,0,2,3,0,0,0.0,4,1.5,1.5,1.0,0,,JohnJo05
300,Travis Kelce,33,KAN,TE,17,17,2,5,0,1,100.0,4,2.5,0.3,0.1,1,PBAP-1AP OPoY-6,KelcTr00
301,Cole Kmet,23,CHI,TE,17,17,2,9,0,1,100.0,8,4.5,0.5,0.1,1,,KmetCo00
302,Allen Lazard,27,GNB,WR,15,15,2,0,0,0,0.0,,0.0,0.0,0.1,0,,LazaAl00
303,Jakobi Meyers,26,NWE,WR,14,13,2,-11,0,2,100.0,7,-5.5,-0.8,0.1,2,,MeyeJa01
304,Ty Montgomery,29,NWE,WR,1,0,2,-2,0,0,0.0,,-1.0,-2.0,2.0,0,,MontTy01
305,C.J. Moore,27,DET,S,11,0,2,55,0,2,100.0,42,27.5,5.0,0.2,1,,MoorCJ01
306,David Njoku,26,CLE,TE,14,14,2,-8,0,0,0.0,-2,-4.0,-0.6,0.1,1,,NjokDa00
307,Breshad Perriman,29,TAM,WR,11,3,2,-7,0,0,0.0,,-3.5,-0.6,0.2,2,,PerrBr02
308,Nathan Peterman,28,CHI,QB,3,1,2,7,0,0,50.0,6,3.5,2.3,0.7,0,,PeteNa00
309,Dante Pettis,27,CHI,WR,17,7,2,37,0,2,100.0,29,18.5,2.2,0.1,1,,PettDa00
310,Wan'Dale Robinson,21,NYG,WR,6,3,2,-1,0,0,50.0,4,-0.5,-0.2,0.3,0,,RobiWa01
311,Amari Rodgers,23,2TM,WR,16,1,2,7,0,0,50.0,4,3.5,0.4,0.1,6,,RodgAm00
311,Amari Rodgers,23,GNB,WR,10,0,0,0,0,0,,,,0.0,0.0,5,,RodgAm00
311,Amari Rodgers,23,HOU,WR,6,1,2,7,0,0,50.0,4,3.5,1.2,0.3,1,,RodgAm00
312,Armani Rogers,25,WAS,TE,11,3,2,26,0,1,50.0,24,13.0,2.4,0.2,0,,RogeAr00
313,Trey Sermon,23,PHI,RB,2,0,2,19,0,2,100.0,14,9.5,9.5,1.0,0,,SermTr00
314,Durham Smythe,27,MIA,TE,16,15,2,1,1,1,50.0,1,0.5,0.1,0.1,0,,SmytDu00
315,Deven Thompkins,23,TAM,WR,5,1,2,26,0,1,100.0,17,13.0,5.2,0.4,1,,ThomDe07
316,Damien Williams,30,ATL,RB,1,1,2,2,0,0,0.0,2,1.0,2.0,2.0,0,,WillDa05
317,Olamide Zaccheaus,25,ATL,WR,17,13,2,7,0,1,50.0,13,3.5,0.4,0.1,1,,ZaccOl01
318,Keenan Allen,30,LAC,WR,10,10,1,8,0,1,100.0,8,8.0,0.8,0.1,1,,AlleKe00
319,Marcus Allen,26,PIT,DB,15,0,1,4,0,1,100.0,4,4.0,0.3,0.1,0,,AlleMa03
320,Bryan Anger,34,DAL,P,17,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,AngeBr00
321,Tyler Badie,22,DEN,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,,BadiTy00
322,Daniel Bellinger,22,NYG,TE,12,11,1,2,1,1,100.0,2,2.0,0.2,0.1,1,,BellDa00
323,Nick Bellore,33,SEA,LB,16,0,1,3,0,0,100.0,3,3.0,0.2,0.1,0,,BellNi01
324,Dyami Brown,23,WAS,WR,15,0,1,15,0,1,100.0,15,15.0,1.0,0.1,0,,BrowDy00
325,Marquise Brown,25,ARI,WR,12,10,1,1,0,0,0.0,1,1.0,0.1,0.1,1,,BrowMa04
326,Harrison Bryant,24,CLE,TE,17,9,1,8,0,1,100.0,8,8.0,0.5,0.1,0,,BryaHa00
327,Jason Cabinda,26,DET,LB,8,2,1,4,0,1,100.0,4,4.0,0.5,0.1,0,,CabiJa00
328,Sean Chandler,26,CAR,S,17,0,1,2,0,1,100.0,2,2.0,0.1,0.1,0,,ChanSe00
329,Chase Daniel,36,LAC,QB,4,0,1,4,0,0,0.0,4,4.0,1.0,0.3,0,,DaniCh00
330,Jaelon Darden,23,TAM,WR,12,0,1,2,0,0,0.0,2,2.0,0.2,0.1,0,,DardJa00
331,Ashtyn Davis,26,NYJ,S,14,0,1,2,0,1,100.0,2,2.0,0.1,0.1,0,,DaviAs00
332,Stefon Diggs,29,BUF,WR,16,16,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,1,PBAP-2,DiggSt00
333,Romeo Doubs,22,GNB,WR,13,7,1,11,0,1,100.0,11,11.0,0.8,0.1,2,,DoubRo00
334,Gerald Everett,28,LAC,TE,16,11,1,0,0,0,0.0,,0.0,0.0,0.1,0,,EverGe00
335,Matthias Farley,30,LVR,S,17,0,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,0,,FarlMa00
336,Clayton Fejedelem,29,MIA,S,13,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,,FejeCl00
337,Demetric Felton,24,CLE,WR,8,2,1,-4,0,0,0.0,-4,-4.0,-0.5,0.1,1,,FeltDe00
338,Feleipe Franks,25,ATL,QB,11,1,1,0,0,0,0.0,,0.0,0.0,0.1,0,,FranFe00
339,Kylen Granson,24,IND,TE,13,4,1,0,0,0,0.0,,0.0,0.0,0.1,1,,GranKy00
340,Danny Gray,23,SFO,WR,13,0,1,9,0,0,100.0,9,9.0,0.7,0.1,0,,GrayDa02
341,Noah Gray,23,KAN,TE,17,8,1,1,1,1,100.0,1,1.0,0.1,0.1,0,,GrayNo00
342,Peyton Hendershot,23,DAL,TE,17,2,1,2,1,1,100.0,2,2.0,0.1,0.1,1,,HendPe01
343,Kylin Hill,24,GNB,RB,2,0,1,7,0,1,100.0,7,7.0,3.5,0.5,0,,HillKy00
344,Jordan Howard,28,NOR,RB,2,0,1,1,0,0,0.0,1,1.0,0.5,0.5,0,,HowaJo00
345,Robert Hunt,26,MIA,RG,17,17,1,0,0,0,0.0,,0.0,0.0,0.1,1,,HuntRo01
346,Trenton Irwin,27,CIN,WR,9,2,1,11,0,1,100.0,11,11.0,1.2,0.1,0,,IrwiTr00
347,Andy Isabella,26,2TM,WR,5,0,1,1,0,0,0.0,1,1.0,0.2,0.2,0,,IsabAn00
347,Andy Isabella,26,ARI,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,IsabAn00
347,Andy Isabella,26,BAL,WR,2,0,1,1,0,0,0.0,1,1.0,0.5,0.5,0,,IsabAn00
348,Dallin Leavitt,28,GNB,S,17,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,,LeavDa00
349,Jordan Love,24,GNB,QB,4,0,1,-1,0,0,0.0,-1,-1.0,-0.3,0.3,0,,LoveJo03
350,Racey McMath,23,TEN,WR,5,0,1,4,0,0,0.0,4,4.0,0.8,0.2,0,,McMaRa00
351,Scott Miller,25,TAM,WR,15,1,1,8,0,0,100.0,8,8.0,0.5,0.1,0,,MillSc01
352,Darnell Mooney,25,CHI,WR,12,12,1,2,0,0,0.0,2,2.0,0.2,0.1,0,,MoonDa00
353,Josh Palmer,23,LAC,WR,16,11,1,4,0,1,100.0,4,4.0,0.3,0.1,1,,PalmJo00
354,Zach Pascal,28,PHI,WR,17,2,1,0,0,0,0.0,,0.0,0.0,0.1,0,,PascZa00
355,Donovan Peoples-Jones,23,CLE,WR,17,14,1,2,0,0,0.0,2,2.0,0.1,0.1,1,,PeopDo00
356,Ben Skowronek,25,LAR,WR,14,11,1,17,1,1,100.0,17,17.0,1.2,0.1,0,,SkowBe00
357,Jonnu Smith,27,NWE,TE,14,8,1,5,0,1,100.0,5,5.0,0.4,0.1,1,,SmitJo01
358,Keith Smith,30,ATL,WR,17,6,1,2,0,1,100.0,2,2.0,0.1,0.1,0,,SmitKe03
359,Ihmir Smith-Marsette,23,CHI,WR,6,0,1,-1,0,0,0.0,-1,-1.0,-0.2,0.2,1,,SmitIh00
360,M.J. Stewart,27,HOU,DB,17,0,1,3,0,1,100.0,3,3.0,0.2,0.1,0,,StewM.00
361,Courtland Sutton,27,DEN,WR,15,15,1,5,0,0,100.0,5,5.0,0.3,0.1,0,,SuttCo00
362,Adam Thielen,32,MIN,WR,17,17,1,4,0,0,100.0,4,4.0,0.2,0.1,0,,ThieAd00
363,Marquez Valdes-Scantling,28,KAN,WR,17,11,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,0,,ValdMa00
364,Jameson Williams,21,DET,WR,6,0,1,40,0,1,100.0,40,40.0,6.7,0.2,0,,WillJa11
365,Cedrick Wilson Jr.,27,MIA,WR,15,0,1,8,0,0,100.0,8,8.0,0.5,0.1,0,,WilsCe01
366,Michael Woods II,22,CLE,WR,10,0,1,-5,0,0,0.0,-5,-5.0,-0.5,0.1,0,,WoodMi00
367,Nelson Agholor,29,NWE,WR,16,7,0,0,0,0,,,,0.0,0.0,2,,AghoNe00
368,Jordan Akins,30,HOU,TE,15,3,0,0,0,0,,,,0.0,0.0,1,,AkinJo00
369,Maurice Alexander,25,DET,WR,4,0,0,0,0,0,,,,0.0,0.0,0,,AlexMa02
370,Josh Ali,23,ATL,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,AlixJo00
371,Mo Alie-Cox,29,IND,TE,17,11,0,0,0,0,,,,0.0,0.0,1,,AlieMo00
372,Stephen Anderson,29,ARI,TE,16,0,0,0,0,0,,,,0.0,0.0,0,,AndeSt01
373,Dan Arnold,27,JAX,TE,17,0,0,0,0,0,,,,0.0,0.0,0,,ArnoDa00
374,Devin Asiasi,25,CIN,TE,12,0,0,0,0,0,,,,0.0,0.0,0,,AsiaDe00
375,Andre Baccellia,25,ARI,WR,8,0,0,0,0,0,,,,0.0,0.0,0,,BaccAn00
376,David Bakhtiari,31,GNB,LT,11,11,0,0,0,0,,,,0.0,0.0,0,,BakhDa00
377,Daylen Baldwin,23,CLE,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,BaldDa01
378,Michael Bandy,25,LAC,WR,10,2,0,0,0,0,,,,0.0,0.0,0,,BandMi00
379,Rashod Bateman,23,BAL,WR,6,5,0,0,0,0,,,,0.0,0.0,1,,BateRa00
380,John Bates,25,WAS,TE,16,7,0,0,0,0,,,,0.0,0.0,1,,BateJo00
381,Cole Beasley,33,2TM,WR,4,1,0,0,0,0,,,,0.0,0.0,0,,BeasCo00
381,Cole Beasley,33,TAM,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,BeasCo00
381,Cole Beasley,33,BUF,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,BeasCo00
382,Blake Bell,31,KAN,TE,3,1,0,0,0,0,,,,0.0,0.0,0,,BellBl00
383,David Bell,22,CLE,WR,16,3,0,0,0,0,,,,0.0,0.0,0,,BellDa02
384,Kendall Blanton,27,LAR,TE,4,0,0,0,0,0,,,,0.0,0.0,0,,BlanKe01
385,Khari Blasingame,26,CHI,FB,16,6,0,0,0,0,,,,0.0,0.0,0,,BlasKh00
386,C.J. Board,29,TEN,WR,4,0,0,0,0,0,,,,0.0,0.0,1,,BoarC.00
387,Tyler Boyd,28,CIN,WR,16,14,0,0,0,0,,,,0.0,0.0,0,,BoydTy00
388,Miles Boykin,26,PIT,WR,16,1,0,0,0,0,,,,0.0,0.0,0,,BoykMi00
389,Cameron Brate,31,TAM,TE,11,1,0,0,0,0,,,,0.0,0.0,0,,BratCa00
390,A.J. Brown,25,PHI,WR,17,16,0,0,0,0,,,,0.0,0.0,2,PBAP-2AP MVP-9AP OPoY-11,BrowAJ00
391,John Brown,32,BUF,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,BrowJo02
392,Noah Brown,26,DAL,WR,16,13,0,0,0,0,,,,0.0,0.0,1,,BrowNo00
393,Pharaoh Brown,28,2TM,TE,16,8,0,0,0,0,,,,0.0,0.0,0,,BrowPh01
393,Pharaoh Brown,28,HOU,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,BrowPh01
393,Pharaoh Brown,28,CLE,TE,13,5,0,0,0,0,,,,0.0,0.0,0,,BrowPh01
394,Damiere Byrd,29,ATL,WR,14,4,0,0,0,0,,,,0.0,0.0,0,,ByrdDa00
395,Lawrence Cager,25,2TM,WR,7,4,0,0,0,0,,,,0.0,0.0,0,,CageLa01
395,Lawrence Cager,25,NYJ,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,CageLa01
395,Lawrence Cager,25,NYG,WR,6,3,0,0,0,0,,,,0.0,0.0,0,,CageLa01
396,Grant Calcaterra,24,PHI,TE,15,2,0,0,0,0,,,,0.0,0.0,0,,CalcGr00
397,Marquez Callaway,24,NOR,WR,14,3,0,0,0,0,,,,0.0,0.0,0,,CallMa01
398,Jalen Camp,24,HOU,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,CampJa03
399,Quintez Cephus,24,DET,WR,4,1,0,0,0,0,,,,0.0,0.0,0,,CephQu00
400,DJ Chark,26,DET,WR,11,10,0,0,0,0,,,,0.0,0.0,0,,CharDJ00
401,Robbie Chosen,29,2TM,WR,16,7,0,0,0,0,,,,0.0,0.0,1,,AndeRo04
401,Robbie Chosen,29,CAR,WR,6,5,0,0,0,0,,,,0.0,0.0,1,,AndeRo04
401,Robbie Chosen,29,ARI,WR,10,2,0,0,0,0,,,,0.0,0.0,0,,AndeRo04
402,Tyrie Cleveland,25,DEN,WR,6,0,0,0,0,0,,,,0.0,0.0,0,,ClevTy00
403,Randall Cobb,32,GNB,WR,13,3,0,0,0,0,,,,0.0,0.0,1,,CobbRa00
404,Keelan Cole,29,LVR,WR,14,3,0,0,0,0,,,,0.0,0.0,1,,ColeKe00
405,Nico Collins,23,HOU,WR,10,7,0,0,0,0,,,,0.0,0.0,0,,CollNi00
406,Jack Conklin,28,CLE,RT,14,14,0,0,0,0,,,,0.0,0.0,0,,ConkJa00
407,Chris Conley,30,2TM,WR,9,1,0,0,0,0,,,,0.0,0.0,0,,ConlCh00
407,Chris Conley,30,HOU,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,ConlCh00
407,Chris Conley,30,TEN,WR,7,1,0,0,0,0,,,,0.0,0.0,0,,ConlCh00
408,Tanner Conner,24,MIA,TE,13,0,0,0,0,0,,,,0.0,0.0,0,,ConnTa00
409,Amari Cooper,28,CLE,WR,17,17,0,0,0,0,,,,0.0,0.0,0,,CoopAm00
410,Keke Coutee,25,IND,WR,8,0,0,0,0,0,,,,0.0,0.0,4,,CoutKe00
411,River Cracraft,28,MIA,WR,11,0,0,0,0,0,,,,0.0,0.0,0,,CracRi00
412,Jamison Crowder,29,BUF,WR,4,0,0,0,0,0,,,,0.0,0.0,1,,CrowJa00
413,Frank Darby,25,ATL,WR,5,0,0,0,0,0,,,,0.0,0.0,0,,DarbFr00
414,Corey Davis,27,NYJ,WR,13,10,0,0,0,0,,,,0.0,0.0,0,,DaviCo03
