,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
31,Darrell Henderson,24,LAR,RB,12,10,149,688,5,39,57.0,29,4.6,57.3,12.4,0,,HendDa00
32,Michael Carter,22,NYJ,RB,14,11,147,639,4,29,51.0,55,4.3,45.6,10.5,1,,CartMi03
33,Devontae Booker,29,NYG,RB,16,4,145,593,2,31,44.1,31,4.1,37.1,9.1,0,,BookDe00
34,Darrel Williams,26,KAN,RB,17,7,144,558,6,40,56.9,21,3.9,32.8,8.5,0,,WillDa10
35,Jalen Hurts,23,PHI,QB,15,15,139,784,10,56,61.9,31,5.6,52.3,9.3,9,,HurtJa00
36,Mike Davis,28,ATL,RB,17,8,138,503,3,21,42.0,18,3.6,29.6,8.1,4,,DaviMi01
37,Miles Sanders,24,PHI,RB,12,12,137,754,0,33,59.1,38,5.5,62.8,11.4,1,,SandMi01
38,Alexander Mattison,23,MIN,RB,16,4,134,491,3,28,44.0,48,3.7,30.7,8.4,1,,MattAl01
39,D'Onta Foreman,25,TEN,RB,9,3,133,566,3,22,48.9,35,4.3,62.9,14.8,2,,ForeDO00
40,Devonta Freeman,29,BAL,RB,16,8,133,576,5,31,58.6,32,4.3,36.0,8.3,0,,FreeDe00
41,Lamar Jackson,24,BAL,QB,12,12,133,767,2,48,56.4,31,5.8,63.9,11.1,6,PB,JackLa00
42,Rhamondre Stevenson,23,NWE,RB,12,2,133,606,5,33,57.9,21,4.6,50.5,11.1,2,,StevRh00
43,Tony Pollard,24,DAL,RB,15,0,130,719,2,35,53.8,58,5.5,47.9,8.7,2,,PollTo00
44,Josh Allen,25,BUF,QB,17,17,122,763,6,54,61.5,34,6.3,44.9,7.2,8,,AlleJo02
45,Rex Burkhead,31,HOU,RB,16,5,122,427,3,30,44.3,36,3.5,26.7,7.6,1,,BurkRe00
46,Clyde Edwards-Helaire,22,KAN,RB,10,10,119,517,4,21,56.3,17,4.3,51.7,11.9,2,,EdwaCl00
47,Latavius Murray,31,BAL,RB,14,6,119,501,6,36,58.0,46,4.2,35.8,8.5,0,,MurrLa00
48,Rashaad Penny,25,SEA,RB,10,6,119,749,6,28,46.2,62,6.3,74.9,11.9,0,,PennRa00
49,Chase Edmonds,25,ARI,RB,12,11,116,592,2,32,56.9,54,5.1,49.3,9.7,1,,EdmoCh00
50,Alex Collins,27,SEA,RB,11,6,108,411,2,22,50.9,25,3.8,37.4,9.8,1,,CollAl00
51,Khalil Herbert,23,CHI,RB,17,2,103,433,2,24,50.5,29,4.2,25.5,6.1,1,,HerbKh00
52,Ronald Jones II,24,TAM,RB,16,3,101,428,4,25,62.4,30,4.2,26.8,6.3,2,,JoneRo01
53,D'Ernest Johnson,25,CLE,RB,17,2,100,534,3,24,52.0,30,5.3,31.4,5.9,1,,JohnDE04
54,Christian McCaffrey,25,CAR,RB,7,7,99,442,1,20,50.5,18,4.5,63.1,14.1,1,,McCaCh01
55,Zack Moss,24,BUF,RB,13,0,96,345,4,22,49.0,17,3.6,26.5,7.4,2,,MossZa00
56,Kyler Murray,24,ARI,QB,14,14,88,423,5,25,53.4,57,4.8,30.2,6.3,13,PB,MurrKy00
57,Phillip Lindsay,27,2TM,RB,14,1,88,249,1,11,37.5,35,2.8,17.8,6.3,0,,LindPh00
57,Phillip Lindsay,27,HOU,RB,10,1,50,130,1,7,30.0,35,2.6,13.0,5.0,0,,LindPh00
57,Phillip Lindsay,27,MIA,RB,4,0,38,119,0,4,47.4,9,3.1,29.8,9.5,0,,LindPh00
58,Boston Scott,26,PHI,RB,16,4,87,373,7,24,56.3,23,4.3,23.3,5.4,1,,ScotBo02
59,Jordan Howard,27,PHI,RB,7,0,86,406,3,24,62.8,25,4.7,58.0,12.3,0,,HowaJo00
60,Tevin Coleman,28,NYJ,RB,11,5,84,356,0,19,53.6,20,4.2,32.4,7.6,0,,ColeTe01
61,Jeff Wilson,26,SFO,RB,9,4,79,294,2,19,50.6,17,3.7,32.7,8.8,1,,WilsJe01
62,Kareem Hunt,26,CLE,RB,8,1,78,386,5,22,47.4,33,4.9,48.3,9.8,0,,HuntKa00
63,Trevor Lawrence,22,JAX,QB,17,17,73,334,2,22,50.7,26,4.6,19.6,4.3,9,,LawrTr00
64,Justin Fields,22,CHI,QB,12,10,72,420,2,22,48.6,23,5.8,35.0,6.0,12,,FielJu00
65,Carlos Hyde,31,JAX,RB,12,2,72,253,1,14,50.0,18,3.5,21.1,6.0,2,,HydeCa00
66,Duke Johnson,28,MIA,RB,5,4,71,330,3,18,49.3,27,4.6,66.0,14.2,0,,JohnDu00
67,Taysom Hill,31,NOR,QB/WR,12,9,70,374,5,26,61.4,44,5.3,31.2,5.8,2,,HillTa00
68,Kenneth Gainwell,22,PHI,RB,16,1,68,291,5,19,50.0,18,4.3,18.2,4.3,2,,GainKe00
69,Justin Jackson,25,LAC,RB,14,2,68,364,2,18,50.0,75,5.4,26.0,4.9,1,,JackJu01
70,Jaret Patterson,22,WAS,RB,17,1,68,266,2,15,50.0,13,3.9,15.6,4.0,1,,PattJa01
71,David Johnson,30,HOU,RB,13,4,67,228,0,7,34.3,15,3.4,17.5,5.2,1,,JohnDa08
72,Patrick Mahomes,26,KAN,QB,17,17,66,381,2,25,50.0,32,5.8,22.4,3.9,9,PB,MahoPa00
73,Kenyan Drake,27,LVR,RB,12,2,63,254,2,15,44.4,21,4.0,21.2,5.3,1,,DrakKe00
74,Justin Herbert,23,LAC,QB,17,17,63,302,3,28,58.7,36,4.8,17.8,3.7,1,PB,HerbJu00
75,Daniel Jones,24,NYG,QB,11,11,62,298,2,16,48.4,46,4.8,27.1,5.6,7,,JoneDa05
76,Ty Johnson,24,NYJ,RB,16,3,61,238,2,13,47.5,24,3.9,14.9,3.8,2,,JohnTy02
77,Taylor Heinicke,28,WAS,QB,16,15,60,313,1,20,46.7,38,5.2,19.6,3.8,7,,HeinTa00
78,Deebo Samuel,25,SFO,WR,16,15,59,365,8,21,54.2,49,6.2,22.8,3.7,4,PBAP-1,SamuDe00
79,Carson Wentz,29,IND,QB,17,17,57,215,1,21,49.1,18,3.8,12.6,3.4,8,,WentCa00
80,Dontrell Hilliard,26,TEN,RB,8,5,56,350,2,15,46.4,68,6.3,43.8,7.0,2,,HillDo00
81,Nyheim Hines,25,IND,RB,17,4,56,276,2,15,48.2,34,4.9,16.2,3.3,3,,HineNy00
82,Royce Freeman,25,2TM,RB,15,0,56,169,0,8,44.6,13,3.0,11.3,3.7,0,,FreeRo00
82,Royce Freeman,25,CAR,RB,8,0,21,77,0,4,47.6,13,3.7,9.6,2.6,0,,FreeRo00
82,Royce Freeman,25,HOU,RB,7,0,35,92,0,4,42.9,13,2.6,13.1,5.0,0,,FreeRo00
83,Peyton Barber,27,LVR,RB,10,1,55,212,2,12,47.3,27,3.9,21.2,5.5,2,,BarbPe01
84,Samaje Perine,26,CIN,RB,16,0,55,246,1,11,41.8,46,4.5,15.4,3.4,0,,PeriSa00
85,Craig Reynolds,25,DET,RB,5,2,55,230,0,11,43.6,35,4.2,46.0,11.0,0,,ReynCr00
86,Ryan Tannehill,33,TEN,QB,17,17,55,270,7,33,65.5,28,4.9,15.9,3.2,10,,TannRy00
87,Salvon Ahmed,23,MIA,RB,12,0,54,149,0,8,29.6,16,2.8,12.4,4.5,0,,AhmeSa01
88,Chris Carson,27,SEA,RB,4,4,54,232,3,11,55.6,33,4.3,58.0,13.5,1,,CarsCh00
89,Tony Jones,24,NOR,RB,11,4,54,142,0,7,37.0,11,2.6,12.9,4.9,0,,JoneTo04
90,Derrick Gore,27,KAN,RB,11,0,51,256,2,12,60.8,51,5.0,23.3,4.6,0,,GoreDe00
91,Ameer Abdullah,28,2TM,RB,17,1,51,166,0,8,45.1,15,3.3,9.8,3.0,0,,AbduAm00
91,Ameer Abdullah,28,MIN,RB,6,0,7,30,0,0,42.9,9,4.3,5.0,1.2,0,,AbduAm00
91,Ameer Abdullah,28,CAR,RB,11,1,44,136,0,8,45.5,15,3.1,12.4,4.0,0,,AbduAm00
92,Sam Darnold,24,CAR,QB,12,11,48,222,5,20,60.4,30,4.6,18.5,4.0,9,,DarnSa00
93,J.D. McKissic,28,WAS,RB,11,3,48,212,2,14,60.4,15,4.4,19.3,4.4,0,,McKiJ.00
94,Dak Prescott,28,DAL,QB,16,16,48,146,1,7,27.1,21,3.0,9.1,3.0,14,AP CPoY-2,PresDa01
95,Tyler Huntley,23,BAL,QB,7,4,47,294,2,22,55.3,21,6.3,42.0,6.7,4,,HuntTy01
96,Cam Newton,32,CAR,QB,8,5,47,230,5,20,55.3,33,4.9,28.8,5.9,4,,NewtCa00
97,Brandon Bolden,31,NWE,RB,17,1,44,226,1,12,43.2,24,5.1,13.3,2.6,1,,BoldBr00
98,Mac Jones,23,NWE,QB,17,17,44,129,0,22,52.3,13,2.9,7.6,2.6,7,PBAP ORoY-2,JoneMa05
99,Dare Ogunbowale,27,JAX,RB,17,2,43,137,1,5,37.2,12,3.2,8.1,2.5,0,,OgunDa00
100,Russell Wilson,33,SEA,QB,14,14,43,183,2,17,44.2,17,4.3,13.1,3.1,6,PB,WilsRu00
101,Tua Tagovailoa,23,MIA,QB,13,12,42,128,3,13,40.5,23,3.0,9.8,3.2,9,,TagoTu00
102,Jeremy McNichols,26,TEN,RB,14,0,41,156,0,6,41.5,14,3.8,11.1,2.9,0,,McNiJe00
103,Trey Sermon,22,SFO,RB,9,2,41,167,1,9,56.1,16,4.1,18.6,4.6,0,,SermTr00
104,Joe Burrow,25,CIN,QB,16,16,40,118,2,14,40.0,12,3.0,7.4,2.5,5,AP CPoY-1,BurrJo01
105,Derek Carr,30,LVR,QB,17,17,40,108,0,9,40.0,22,2.7,6.4,2.4,13,,CarrDe02
106,Matt Ryan,36,ATL,QB,17,17,40,82,1,9,30.0,17,2.1,4.8,2.4,11,,RyanMa00
107,Damien Williams,29,CHI,RB,12,2,40,164,2,11,52.5,23,4.1,13.7,3.3,0,,WillDa05
108,Le'Veon Bell,29,2TM,RB,8,0,39,101,2,9,46.2,12,2.6,12.6,4.9,0,,BellLe00
108,Le'Veon Bell,29,BAL,RB,5,0,31,83,2,8,48.4,12,2.7,16.6,6.2,0,,BellLe00
108,Le'Veon Bell,29,TAM,RB,3,0,8,18,0,1,37.5,7,2.3,6.0,2.7,0,,BellLe00
109,Jimmy Garoppolo,30,SFO,QB,15,15,38,51,3,15,47.4,7,1.3,3.4,2.5,8,,GaroJi00
110,Trey Lance,21,SFO,QB,6,2,38,168,1,8,42.1,15,4.4,28.0,6.3,0,,LancTr00
111,Adrian Peterson,36,2TM,RB,4,3,38,98,2,6,42.1,16,2.6,24.5,9.5,1,,PeteAd01
111,Adrian Peterson,36,TEN,RB,3,2,27,82,1,4,44.4,16,3.0,27.3,9.0,0,,PeteAd01
111,Adrian Peterson,36,SEA,RB,1,1,11,16,1,2,36.4,7,1.5,16.0,11.0,1,,PeteAd01
112,Baker Mayfield,26,CLE,QB,14,14,37,134,1,12,48.6,14,3.6,9.6,2.6,6,,MayfBa00
113,Larry Rountree,22,LAC,RB,12,0,36,87,1,5,33.3,13,2.4,7.3,3.0,0,,RounLa00
114,Benny Snell Jr.,23,PIT,RB,17,0,36,98,0,3,30.6,9,2.7,5.8,2.1,0,,SnelBe00
115,Ke'Shawn Vaughn,24,TAM,RB,12,1,36,180,2,9,50.0,55,5.0,15.0,3.0,0,,VaugKe00
116,Ty'Son Williams,25,BAL,RB,13,3,35,185,1,7,45.7,35,5.3,14.2,2.7,1,,WillTy01
117,Eno Benjamin,22,ARI,RB,9,0,34,118,1,4,41.2,21,3.5,13.1,3.8,0,,BenjEn00
118,Malcolm Brown,28,MIA,RB,7,3,33,125,1,6,51.5,24,3.8,17.9,4.7,0,,BrowMa03
119,Corey Clement,27,DAL,RB,17,0,33,140,0,7,42.4,38,4.2,8.2,1.9,0,,ClemCo00
120,DeeJay Dallas,23,SEA,RB,17,0,33,138,2,10,57.6,15,4.2,8.1,1.9,1,,DallDe00
121,Joshua Kelley,24,LAC,RB,10,0,33,102,0,5,30.3,14,3.1,10.2,3.3,1,,KellJo01
122,Aaron Rodgers,38,GNB,QB,16,16,33,101,3,10,36.4,18,3.1,6.3,2.1,3,PBAP-1AP MVP-1AP OPoY-4,RodgAa00
123,Matthew Stafford,33,LAR,QB,17,17,32,43,0,8,31.3,12,1.3,2.5,1.9,5,,StafMa00
124,Jameis Winston,27,NOR,QB,7,7,32,166,1,17,56.3,20,5.2,23.7,4.6,2,,WinsJa00
125,Teddy Bridgewater,29,DEN,QB,14,14,30,106,2,16,60.0,13,3.5,7.6,2.1,1,,BridTe00
126,Kirk Cousins,33,MIN,QB,16,16,29,115,1,8,48.3,29,4.0,7.2,1.8,12,PB,CousKi00
127,Zach Wilson,22,NYJ,QB,13,13,29,185,4,10,44.8,52,6.4,14.2,2.2,5,,WilsZa00
128,Tom Brady,44,TAM,QB,17,17,28,81,2,14,53.6,13,2.9,4.8,1.6,4,PBAP-2AP MVP-2AP OPoY-3,BradTo00
129,Wayne Gallman,27,ATL,RB,6,0,28,104,0,5,35.7,17,3.7,17.3,4.7,0,,GallWa00
130,Marlon Mack,25,IND,RB,6,0,28,101,0,6,32.1,22,3.6,16.8,4.7,0,,MackMa00
131,Matt Breida,26,BUF,RB,9,0,26,125,1,5,65.4,28,4.8,13.9,2.9,1,,BreiMa00
132,Austin Walter,25,NYJ,RB,4,0,26,101,1,5,42.3,14,3.9,25.3,6.5,0,,WaltAu00
133,Elijhaa Penny,28,NYG,RB,17,3,24,99,1,9,50.0,12,4.1,5.8,1.4,0,,PennEl00
134,Patrick Taylor,23,GNB,RB,9,0,23,89,1,5,60.9,12,3.9,9.9,2.6,0,,TaylPa01
135,Colt McCoy,35,ARI,QB,8,3,22,37,0,6,31.8,11,1.7,4.6,2.8,4,,McCoCo00
136,Travis Homer,23,SEA,RB,14,0,21,177,1,7,57.1,73,8.4,12.6,1.5,0,,HomeTr00
137,Qadree Ollison,25,ATL,RB,8,0,21,105,1,7,52.4,19,5.0,13.1,2.6,1,,OlliQa00
138,Ben Roethlisberger,39,PIT,QB,16,16,20,5,1,3,20.0,8,0.3,0.3,1.3,11,,RoetBe00
139,Jacoby Brissett,29,MIA,QB,11,5,19,70,1,9,63.2,19,3.7,6.4,1.7,6,,BrisJa00
140,J.J. Taylor,23,NWE,RB,5,0,19,37,2,3,21.1,15,1.9,7.4,3.8,1,,TaylJJ01
141,Tyrod Taylor,32,HOU,QB,6,6,19,151,3,6,52.6,30,7.9,25.2,3.2,3,,TaylTy00
142,Godwin Igwebuike,27,DET,RB,17,1,18,118,1,7,61.1,42,6.6,6.9,1.1,2,,IgweGo00
143,Davis Mills,23,HOU,QB,13,11,18,44,0,5,38.9,11,2.4,3.4,1.4,5,,MillDa02
144,Rondale Moore,21,ARI,WR,14,7,18,76,0,2,50.0,26,4.2,5.4,1.3,3,,MoorRo02
145,Chris Evans,24,CIN,RB,14,1,17,77,0,3,41.2,13,4.5,5.5,1.2,0,,EvanCh02
146,Jared Goff,27,DET,QB,14,14,17,87,0,4,29.4,26,5.1,6.2,1.2,9,,GoffJa00
147,Jonathan Williams,27,WAS,RB,5,0,17,79,1,7,64.7,23,4.6,15.8,3.4,0,,WillJo07
148,Andy Dalton,34,CHI,QB,8,6,16,76,0,2,50.0,14,4.8,9.5,2.0,1,,DaltAn00
149,Jamycal Hasty,25,SFO,RB,11,0,16,68,1,6,43.8,21,4.3,6.2,1.5,2,,HastJa02
150,Ryquell Armstead,25,JAX,RB,2,0,15,80,0,3,60.0,26,5.3,40.0,7.5,0,,ArmsRy00
151,Jermar Jefferson,21,DET,RB,7,0,15,74,2,4,53.3,28,4.9,10.6,2.1,0,,JeffJe00
152,Ty Montgomery,28,NOR,WR,14,3,15,44,0,2,33.3,9,2.9,3.1,1.1,0,,MontTy01
153,Trayveon Williams,24,CIN,RB,5,0,15,51,0,4,53.3,10,3.4,10.2,3.0,0,,WillTr06
154,Chase Claypool,23,PIT,WR,15,13,14,96,0,7,71.4,25,6.9,6.4,0.9,0,,ClayCh01
155,Jason Huntley,23,PHI,RB,1,0,13,51,0,2,30.8,18,3.9,51.0,13.0,0,,HuntJa01
156,Deon Jackson,22,IND,RB,9,0,13,31,1,2,30.8,10,2.4,3.4,1.4,0,,JackDe02
157,Marcus Mariota,28,LVR,QB,10,0,13,87,1,6,76.9,31,6.7,8.7,1.3,1,,MariMa01
158,Kene Nwangwu,23,MIN,RB,11,0,13,61,0,3,30.8,19,4.7,5.5,1.2,0,,NwanKe00
159,Mitchell Trubisky,27,BUF,QB,6,0,13,24,1,3,23.1,22,1.8,4.0,2.2,0,,TrubMi00
160,Kalen Ballage,26,PIT,RB,17,0,12,36,0,2,41.7,13,3.0,2.1,0.7,0,,BallKa00
161,Kendrick Bourne,26,NWE,WR,17,5,12,125,0,7,83.3,18,10.4,7.4,0.7,1,,BourKe00
162,Case Keenum,33,CLE,QB,7,2,12,22,0,6,50.0,10,1.8,3.1,1.7,1,,KeenCa00
163,Jordan Love,23,GNB,QB,6,1,12,27,0,1,25.0,10,2.3,4.5,2.0,3,,LoveJo03
164,Jerick McKinnon,29,KAN,RB,13,0,12,62,0,2,58.3,18,5.2,4.8,0.9,0,,McKiJe00
165,Brian Hoyer,36,NWE,QB,5,0,11,-8,0,1,9.1,2,-0.7,-1.6,2.2,0,,HoyeBr00
166,Laviska Shenault Jr.,23,JAX,WR,16,10,11,41,0,2,45.5,11,3.7,2.6,0.7,1,,ShenLa00
167,DeAndre Carter,28,WAS,WR,17,6,10,89,0,4,80.0,27,8.9,5.2,0.6,3,,CartDe02
168,Kylin Hill,23,GNB,RB,8,0,10,24,0,1,20.0,8,2.4,3.0,1.3,0,,HillKy00
169,Drew Lock,25,DEN,QB,6,3,10,53,2,5,50.0,23,5.3,8.8,1.7,2,,LockDr00
170,Jalen Reagor,22,PHI,WR,17,13,10,32,0,3,40.0,12,3.2,1.9,0.6,2,,ReagJa00
171,James White,29,NWE,RB,3,0,10,38,1,4,60.0,10,3.8,12.7,3.3,0,,WhitJa02
172,Blaine Gabbert,32,TAM,QB,6,0,9,-7,0,0,0.0,,-0.8,-1.2,1.5,0,,GabbBl00
173,Tyreek Hill,27,KAN,WR,17,16,9,96,0,4,66.7,33,10.7,5.6,0.5,2,PB,HillTy00
174,CeeDee Lamb,22,DAL,WR,16,13,9,76,0,4,66.7,33,8.4,4.8,0.6,0,PB,LambCe00
175,Isaiah McKenzie,26,BUF,WR,15,2,9,47,1,4,55.6,10,5.2,3.1,0.6,2,,McKeIs00
176,Gardner Minshew II,25,PHI,QB,4,2,9,21,0,2,55.6,9,2.3,5.3,2.3,1,,MinsGa00
177,Jalen Richard,28,LVR,RB,10,0,9,40,0,3,44.4,23,4.4,4.0,0.9,0,,RichJa01
178,Cooper Rush,28,DAL,QB,5,1,9,-8,0,0,0.0,2,-0.9,-1.6,1.8,1,,RushCo00
179,Trevor Siemian,30,NOR,QB,6,4,9,20,1,2,22.2,17,2.2,3.3,1.5,3,,SiemTr00
180,Geno Smith,31,SEA,QB,4,3,9,42,1,3,77.8,12,4.7,10.5,2.3,1,,SmitGe00
181,Jonnu Smith,26,NWE,TE,16,11,9,40,0,2,44.4,9,4.4,2.5,0.6,1,,SmitJo01
182,Keith Smith,29,ATL,FB,17,8,9,31,0,3,55.6,8,3.4,1.8,0.5,0,,SmitKe03
183,Jonathan Ward,24,ARI,RB,13,0,9,33,0,3,44.4,7,3.7,2.5,0.7,0,,WardJo00
184,Josh Johnson,35,2TM,QB,4,1,9,28,0,1,33.3,11,3.1,7.0,2.3,2,,JohnJo05
184,Josh Johnson,35,NYJ,QB,3,0,4,18,0,1,50.0,11,4.5,6.0,1.3,0,,JohnJo05
184,Josh Johnson,35,BAL,QB,1,1,5,10,0,0,20.0,7,2.0,10.0,5.0,2,,JohnJo05
185,Giovani Bernard,30,TAM,RB,12,0,8,58,0,3,62.5,24,7.3,4.8,0.7,1,,BernGi00
186,Michael Burton,29,KAN,RB,16,0,8,26,1,8,100.0,7,3.3,1.6,0.5,0,,BurtMi00
187,Jake Fromm,23,NYG,QB,3,2,8,65,0,4,62.5,27,8.1,21.7,2.7,2,,FromJa00
188,Mecole Hardman,23,KAN,WR,17,8,8,46,0,2,25.0,24,5.8,2.7,0.5,3,,HardMe00
189,Chad Henne,36,KAN,QB,4,0,8,0,0,0,12.5,,0.0,0.0,2.0,2,,HennCh01
190,Kyle Juszczyk,30,SFO,FB,17,16,8,22,1,3,50.0,6,2.8,1.3,0.5,0,PB,JuszKy00
191,D.J. Moore,24,CAR,WR,17,17,8,48,0,4,75.0,14,6.0,2.8,0.5,1,,MoorD.00
192,La'Mical Perine,23,NYJ,RB,4,0,8,31,0,1,25.0,14,3.9,7.8,2.0,0,,PeriLa00
193,Robert Woods,29,LAR,WR,9,9,8,46,1,1,50.0,16,5.8,5.1,0.9,0,,WoodRo02
194,Jamal Agnew,26,JAX,WR,10,2,7,111,1,3,85.7,66,15.9,11.1,0.7,1,,AgneJa00
195,Brandon Allen,29,CIN,QB,6,1,7,-1,0,1,14.3,3,-0.1,-0.2,1.2,1,,AlleBr00
196,Braxton Berrios,26,NYJ,WR,16,1,7,40,2,3,85.7,11,5.7,2.5,0.4,1,AP-1,BerrBr00
197,Ja'Marr Chase,21,CIN,WR,17,17,7,21,0,2,42.9,10,3.0,1.2,0.4,2,PBAP-2AP ORoY-1,ChasJa00
198,Devin Duvernay,24,BAL,WR,16,7,7,50,0,4,42.9,19,7.1,3.1,0.4,1,PBAP-1,DuveDe00
199,Demetric Felton,23,CLE,WR,16,2,7,24,0,0,28.6,12,3.4,1.5,0.4,4,,FeltDe00
200,Mike Glennon,32,NYG,QB,6,4,7,33,1,2,57.1,13,4.7,5.5,1.2,6,,GlenMi00
201,Jalen Guyton,24,LAC,WR,16,2,7,34,0,2,28.6,21,4.9,2.1,0.4,1,,GuytJa01
202,C.J. Ham,28,MIN,FB,17,8,7,34,0,3,42.9,30,4.9,2.0,0.4,0,,HamxC.00
203,Amon-Ra St. Brown,22,DET,WR,17,9,7,61,1,2,42.9,26,8.7,3.6,0.4,0,,StxxAm00
204,P.J. Walker,26,CAR,QB,5,1,7,13,0,2,42.9,13,1.9,2.6,1.4,3,,WalkPh00
205,Justin Jefferson,22,MIN,WR,17,17,6,14,0,1,33.3,11,2.3,0.8,0.4,1,PBAP-2,JeffJu00
206,Jarvis Landry,29,CLE,WR,12,12,6,40,2,4,83.3,16,6.7,3.3,0.5,3,,LandJa00
207,Darnell Mooney,24,CHI,WR,17,14,6,32,1,2,33.3,15,5.3,1.9,0.4,0,,MoonDa00
208,Scottie Phillips,24,HOU,RB,3,0,6,13,0,1,33.3,4,2.2,4.3,2.0,0,,PhilSc01
209,Anthony Schwartz,21,CLE,WR,14,2,6,39,0,4,66.7,17,6.5,2.8,0.4,0,,SchwAn00
210,Logan Woodside,26,TEN,QB,5,0,6,-6,0,0,0.0,-1,-1.0,-1.2,1.2,0,,WoodLo00
211,Brandon Aiyuk,23,SFO,WR,17,16,5,17,0,0,40.0,8,3.4,1.0,0.3,2,,AiyuBr00
212,Cam Akers,22,LAR,RB,1,0,5,3,0,0,0.0,2,0.6,3.0,5.0,0,,AkerCa00
213,Alex Armah,27,NOR,FB,9,2,5,21,0,4,80.0,9,4.2,2.3,0.6,0,,ArmaAl00
214,Jakeem Grant,29,2TM,WR,15,0,5,33,0,2,60.0,13,6.6,2.2,0.3,3,PBAP-2,GranJa00
214,Jakeem Grant,29,MIA,WR,4,0,0,0,0,0,,,,0.0,0.0,2,,GranJa00
