,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
1,Ezekiel Elliott,21,DAL,RB,15,15,322,1631,15,95,55.3,60,5.1,108.7,21.5,5,PBAP-1AP MVP-3AP OPoY-5AP ORoY-2,ElliEz00
2,LeGarrette Blount,30,NWE,RB,16,8,299,1161,18,68,42.5,44,3.9,72.6,18.7,2,,BlouLe00
3,David Johnson,25,ARI,RB,16,16,293,1239,16,73,48.8,58,4.2,77.4,18.3,5,PBAP-1AP OPoY-3,JohnDa08
4,DeMarco Murray,28,TEN,RB,16,16,293,1287,9,67,50.2,75,4.4,80.4,18.3,3,PB,MurrDe00
5,Todd Gurley,22,LAR,RB,16,16,278,885,6,49,40.3,24,3.2,55.3,17.4,2,,GurlTo01
6,Lamar Miller,25,HOU,RB,14,14,268,1073,5,55,42.9,45,4.0,76.6,19.1,2,,MillLa01
7,Frank Gore,33,IND,RB,16,16,263,1025,4,50,47.9,22,3.9,64.1,16.4,2,,GoreFr00
8,Le'Veon Bell,24,PIT,RB,12,12,261,1268,7,70,53.3,44,4.9,105.7,21.8,4,PBAP-2AP OPoY-6AP CPoY-4,BellLe00
9,Jay Ajayi,23,MIA,RB,15,12,260,1272,8,63,42.7,62,4.9,84.8,17.3,4,PB,AjayJa00
10,Melvin Gordon,23,SDG,RB,13,11,254,997,10,62,42.9,48,3.9,76.7,19.5,2,PB,GordMe00
11,Jordan Howard,22,CHI,RB,15,13,252,1313,6,73,48.8,69,5.2,87.5,16.8,2,PB,HowaJo00
12,LeSean McCoy,28,BUF,RB,15,15,234,1267,13,56,49.6,75,5.4,84.5,15.6,3,PB,McCoLe01
13,Devonta Freeman,24,ATL,RB,16,16,227,1079,11,66,49.3,75,4.8,67.4,14.2,1,PB,FreeDe00
14,Jeremy Hill,24,CIN,RB,15,13,222,839,9,46,43.7,74,3.8,55.9,14.8,0,,HillJe01
15,Matt Forte,31,NYJ,RB,14,13,218,813,7,36,40.4,32,3.7,58.1,15.6,1,,FortMa00
